Date : 2024-12-13 22:24:45
Directory : c:\xampp\htdocs\ventas-proyecto-rick
Total : 784 files,  148401 codes, 17219 comments, 23016 blanks, all 188636 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\at-sign.svg                                   | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\award.svg                                     | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\bar-chart-2.svg                               | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\bar-chart.svg                                 | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\battery-charging.svg                          | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\battery.svg                                   | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\bell-off.svg                                  | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\bell.svg                                      | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\bluetooth.svg                                 | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\bold.svg                                      | XML        |          1 |          0 |          0 |          1 |
