Date : 2024-12-13 22:24:45
Directory : c:\xampp\htdocs\ventas-proyecto-rick
Total : 784 files,  148401 codes, 17219 comments, 23016 blanks, all 188636 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\zoom-out.svg                                  | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\fontawesome\css\fontawesome.css                       | CSS        |      2,543 |          6 |      1,231 |      3,780 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\fontawesome\css\regular.css                           | CSS        |          9 |          4 |          2 |         15 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\fontawesome\webfonts\fa-regular-400.svg               | XML        |        467 |          0 |          1 |        468 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\fullcalendar\custom-fullcalendar.advance.css                     | CSS        |        253 |         13 |         46 |        312 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\fullcalendar\custom-fullcalendar.advance.js                      | JavaScript |        341 |         24 |         60 |        425 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\fullcalendar\fullcalendar.css                                    | CSS        |        753 |         16 |        185 |        954 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\fullcalendar\fullcalendar.min.css                                | CSS        |        677 |         15 |        167 |        859 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\fullcalendar\fullcalendar.min.js                                 | JavaScript |          5 |          5 |          0 |         10 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\fullcalendar\moment.min.js                                       | JavaScript |          2 |          5 |          0 |          7 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\highlight.pack.js                                      | JavaScript |          9 |          3 |          2 |         14 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\a11y-dark.css                                   | CSS        |         77 |         10 |         13 |        100 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\a11y-light.css                                  | CSS        |         77 |         10 |         13 |        100 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\agate.css                                       | CSS        |         75 |         17 |         17 |        109 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\an-old-hope.css                                 | CSS        |         64 |         15 |         11 |         90 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\androidstudio.css                               | CSS        |         51 |          4 |         12 |         67 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\arduino-light.css                               | CSS        |         69 |          5 |         15 |         89 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\arta.css                                        | CSS        |         58 |          4 |         12 |         74 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\ascetic.css                                     | CSS        |         35 |          5 |          6 |         46 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\atelier-cave-dark.css                           | CSS        |         62 |          9 |         13 |         84 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\atelier-cave-light.css                          | CSS        |         64 |          9 |         13 |         86 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\atelier-dune-dark.css                           | CSS        |         51 |          9 |         10 |         70 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\atelier-dune-light.css                          | CSS        |         51 |          9 |         10 |         70 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\atelier-estuary-dark.css                        | CSS        |         63 |          9 |         13 |         85 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\atelier-estuary-light.css                       | CSS        |         63 |          9 |         13 |         85 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\atelier-forest-dark.css                         | CSS        |         51 |          9 |         10 |         70 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\atelier-forest-light.css                        | CSS        |         51 |          9 |         10 |         70 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\atelier-heath-dark.css                          | CSS        |         51 |          9 |         10 |         70 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\atelier-heath-light.css                         | CSS        |         51 |          9 |         10 |         70 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\atelier-lakeside-dark.css                       | CSS        |         51 |          9 |         10 |         70 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\atelier-lakeside-light.css                      | CSS        |         51 |          9 |         10 |         70 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\atelier-plateau-dark.css                        | CSS        |         63 |          9 |         13 |         85 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\atelier-plateau-light.css                       | CSS        |         63 |          9 |         13 |         85 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\atelier-savanna-dark.css                        | CSS        |         63 |          9 |         13 |         85 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\atelier-savanna-light.css                       | CSS        |         63 |          9 |         13 |         85 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\atelier-seaside-dark.css                        | CSS        |         51 |          9 |         10 |         70 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\atelier-seaside-light.css                       | CSS        |         51 |          9 |         10 |         70 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\atelier-sulphurpool-dark.css                    | CSS        |         51 |          9 |         10 |         70 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\atelier-sulphurpool-light.css                   | CSS        |         51 |          9 |         10 |         70 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\atom-one-dark-reasonable.css                    | CSS        |         70 |          7 |          1 |         78 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\atom-one-dark.css                               | CSS        |         65 |         19 |         13 |         97 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\atom-one-light.css                              | CSS        |         65 |         19 |         13 |         97 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\brown-paper.css                                 | CSS        |         52 |          5 |          8 |         65 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\codepen-embed.css                               | CSS        |         48 |          5 |          8 |         61 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\color-brewer.css                                | CSS        |         53 |          7 |         12 |         72 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\darcula.css                                     | CSS        |         60 |          5 |         13 |         78 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\dark.css                                        | CSS        |         51 |          5 |          8 |         64 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\darkula.css                                     | CSS        |          1 |          4 |          2 |          7 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\default.css                                     | CSS        |         72 |         10 |         24 |        106 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\docco.css                                       | CSS        |         76 |          3 |         19 |         98 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\dracula.css                                     | CSS        |         53 |         15 |          9 |         77 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\far.css                                         | CSS        |         57 |          5 |         10 |         72 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\foundation.css                                  | CSS        |         66 |          7 |         16 |         89 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\github-gist.css                                 | CSS        |         61 |          5 |         14 |         80 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\github.css                                      | CSS        |         77 |          5 |         18 |        100 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\gml.css                                         | CSS        |         62 |          5 |         12 |         79 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\googlecode.css                                  | CSS        |         70 |          5 |         15 |         90 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\grayscale.css                                   | CSS        |         79 |          5 |         18 |        102 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\gruvbox-dark.css                                | CSS        |         81 |         14 |         14 |        109 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\gruvbox-light.css                               | CSS        |         81 |         14 |         14 |        109 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\hopscotch.css                                   | CSS        |         57 |         15 |         12 |         84 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\hybrid.css                                      | CSS        |         72 |         16 |         15 |        103 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\idea.css                                        | CSS        |         76 |          5 |         17 |         98 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\ir-black.css                                    | CSS        |         58 |          3 |         13 |         74 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\isbl-editor-dark.css                            | CSS        |         79 |         10 |         24 |        113 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\isbl-editor-light.css                           | CSS        |         79 |         10 |         24 |        113 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\kimbie.dark.css                                 | CSS        |         53 |         12 |         10 |         75 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\kimbie.light.css                                | CSS        |         53 |         12 |         10 |         75 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\lightfair.css                                   | CSS        |         68 |          5 |         15 |         88 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\magula.css                                      | CSS        |         53 |          8 |         10 |         71 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\mono-blue.css                                   | CSS        |         50 |          3 |          7 |         60 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\monokai-sublime.css                             | CSS        |         66 |          5 |         13 |         84 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\monokai.css                                     | CSS        |         59 |          3 |          9 |         71 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\nord.css                                        | CSS        |        226 |         11 |         73 |        310 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\obsidian.css                                    | CSS        |         71 |          4 |         14 |         89 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\ocean.css                                       | CSS        |         54 |         10 |         11 |         75 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\paraiso-dark.css                                | CSS        |         52 |         11 |         10 |         73 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\paraiso-light.css                               | CSS        |         52 |         11 |         10 |         73 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\pojoaque.css                                    | CSS        |         63 |          7 |         14 |         84 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\purebasic.css                                   | CSS        |         61 |         25 |         11 |         97 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\qtcreator_dark.css                              | CSS        |         66 |          5 |         13 |         84 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\qtcreator_light.css                             | CSS        |         66 |          5 |         13 |         84 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\railscasts.css                                  | CSS        |         81 |          5 |         21 |        107 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\rainbow.css                                     | CSS        |         66 |          5 |         15 |         86 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\routeros.css                                    | CSS        |         74 |         10 |         25 |        109 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\school-book.css                                 | CSS        |         57 |          5 |          8 |         70 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\shades-of-purple.css                            | CSS        |         73 |          9 |         16 |         98 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\solarized-dark.css                              | CSS        |         62 |         11 |         12 |         85 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\solarized-light.css                             | CSS        |         62 |         11 |         12 |         85 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\sunburst.css                                    | CSS        |         78 |          5 |         20 |        103 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\tomorrow-night-blue.css                         | CSS        |         54 |         11 |         11 |         76 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\tomorrow-night-bright.css                       | CSS        |         54 |         10 |         11 |         75 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\tomorrow-night-eighties.css                     | CSS        |         54 |         10 |         11 |         75 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\tomorrow-night.css                              | CSS        |         54 |         11 |         11 |         76 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\tomorrow.css                                    | CSS        |         54 |          8 |         11 |         73 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\vs.css                                          | CSS        |         53 |          5 |         11 |         69 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\vs2015.css                                      | CSS        |         89 |          7 |         20 |        116 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\xcode.css                                       | CSS        |         79 |          6 |         20 |        105 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\xt256.css                                       | CSS        |         69 |          6 |         18 |         93 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\highlight\styles\zenburn.css                                     | CSS        |         60 |          6 |         15 |         81 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\input-mask\input-mask.js                                         | JavaScript |         75 |         19 |         36 |        130 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\input-mask\jquery.inputmask.bundle.min.js                        | JavaScript |          1 |          7 |          1 |          9 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\input-mask\phone-codes\phone-be.min.js                           | JavaScript |          1 |          7 |          1 |          9 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\input-mask\phone-codes\phone-ca.min.js                           | JavaScript |          1 |          7 |          1 |          9 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\input-mask\phone-codes\phone-hu.min.js                           | JavaScript |          1 |          7 |          1 |          9 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\input-mask\phone-codes\phone-it.min.js                           | JavaScript |          1 |          7 |          1 |          9 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\input-mask\phone-codes\phone-mx.min.js                           | JavaScript |          1 |          7 |          1 |          9 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\input-mask\phone-codes\phone-nl.min.js                           | JavaScript |          1 |          7 |          1 |          9 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\input-mask\phone-codes\phone-ru.min.js                           | JavaScript |          1 |          7 |          1 |          9 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\input-mask\phone-codes\phone.min.js                              | JavaScript |          1 |          7 |          1 |          9 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\jquery-step\custom-jquery.steps.js                               | JavaScript |         30 |          0 |          0 |         30 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\jquery-step\jquery.steps.css                                     | CSS        |        584 |         27 |         66 |        677 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\jquery-step\jquery.steps.min.js                                  | JavaScript |        478 |          5 |         42 |        525 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\jquery-ui\jquery-ui.min.css                                      | CSS        |          1 |          5 |          1 |          7 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\jquery-ui\jquery-ui.min.js                                       | JavaScript |          8 |          4 |          1 |         13 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\jvector\africa\jquery-jvectormap-africa-en.js                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\jvector\asia\jquery-jvectormap-asia-en.js                        | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\jvector\continents\jquery-jvectormap-continents-en.js            | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\jvector\europe\jquery-jvectormap-europe-en.js                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\jvector\jquery-jvectormap-2.0.3.css                              | CSS        |         90 |         10 |         22 |        122 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\jvector\jquery-jvectormap-2.0.3.min.js                           | JavaScript |          2 |          0 |          0 |          2 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\jvector\jvector_script.js                                        | JavaScript |         96 |          0 |         11 |        107 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\jvector\north_america\jquery-jvectormap-north-america-en.js      | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\jvector\oceania\jquery-jvectormap-oceanina-en.js                 | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\jvector\south-america\jquery-jvectormap-south-america-en.js      | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\jvector\worldmap_script\jquery-jvectormap-world-mill-en.js       | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\lightbox\custom-photswipe.css                                    | CSS        |         78 |         12 |         16 |        106 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\lightbox\custom-photswipe.js                                     | JavaScript |        216 |         15 |         59 |        290 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\lightbox\default-skin\default-skin.css                           | CSS        |        352 |         72 |         59 |        483 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\lightbox\default-skin\default-skin.svg                           | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\lightbox\photoswipe-ui-default.js                                | JavaScript |        660 |         48 |        154 |        862 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\lightbox\photoswipe-ui-default.min.js                            | JavaScript |          1 |          3 |          0 |          4 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\lightbox\photoswipe.css                                          | CSS        |        124 |         41 |         20 |        185 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\lightbox\photoswipe.js                                           | JavaScript |      2,612 |        344 |        778 |      3,734 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\lightbox\photoswipe.min.js                                       | JavaScript |          1 |          3 |          0 |          4 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\loaders\custom-loader.css                                        | CSS        |        109 |         12 |         12 |        133 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\nicescroll\nicescroll.js                                         | JavaScript |          1 |          1 |          0 |          2 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\noUiSlider\custom-nouiSlider.css                                 | CSS        |         36 |         10 |          7 |         53 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\noUiSlider\custom-nouiSlider.js                                  | JavaScript |        105 |         29 |         44 |        178 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\noUiSlider\nouislider.min.css                                    | CSS        |          1 |          1 |          0 |          2 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\noUiSlider\nouislider.min.js                                     | JavaScript |          1 |          1 |          0 |          2 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\notification\snackbar\snackbar.min.css                           | CSS        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\notification\snackbar\snackbar.min.js                            | JavaScript |          4 |         13 |          0 |         17 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\perfect-scrollbar\perfect-scrollbar.css                          | CSS        |         62 |         28 |         14 |        104 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\perfect-scrollbar\perfect-scrollbar.min.js                       | JavaScript |          1 |          5 |          0 |          6 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\pricing-table\css\component.css                                  | CSS        |        399 |         21 |         58 |        478 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\select2\custom-select2.js                                        | JavaScript |         29 |          0 |          4 |         33 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\select2\select2.min.css                                          | CSS        |        473 |         10 |         67 |        550 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\select2\select2.min.js                                           | JavaScript |      2,590 |          0 |         12 |      2,602 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\sweetalerts\custom-sweetalert.js                                 | JavaScript |        227 |          2 |         22 |        251 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\sweetalerts\promise-polyfill.js                                  | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\sweetalerts\sweetalert.css                                       | CSS        |        693 |         10 |         58 |        761 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\sweetalerts\sweetalert.js                                        | JavaScript |      1,302 |        134 |        193 |      1,629 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\sweetalerts\sweetalert2.min.css                                  | CSS        |      1,134 |         10 |         43 |      1,187 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\sweetalerts\sweetalert2.min.js                                   | JavaScript |          2 |          0 |          0 |          2 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\table\datatable\button-ext\buttons.html5.min.js                  | JavaScript |         28 |          0 |          1 |         29 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\table\datatable\button-ext\buttons.print.min.js                  | JavaScript |          4 |          0 |          1 |          5 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\table\datatable\button-ext\dataTables.buttons.min.js             | JavaScript |         35 |          4 |          1 |         40 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\table\datatable\button-ext\jszip.min.js                          | JavaScript |          3 |         11 |          0 |         14 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\table\datatable\custom_dt_custom.css                             | CSS        |         89 |         13 |         24 |        126 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\table\datatable\custom_dt_html5.css                              | CSS        |          7 |         10 |          1 |         18 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\table\datatable\custom_dt_miscellaneous.css                      | CSS        |         22 |         10 |          7 |         39 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\table\datatable\custom_dt_multiple_tables.css                    | CSS        |          2 |         10 |          1 |         13 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\table\datatable\custom_miscellaneous.js                          | JavaScript |         68 |         14 |         14 |         96 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\table\datatable\datatables-dark.css                              | CSS        |        146 |         21 |         33 |        200 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\table\datatable\datatables.css                                   | CSS        |        146 |         21 |         33 |        200 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\table\datatable\datatables.js                                    | JavaScript |      6,425 |      7,011 |      2,008 |     15,444 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\table\datatable\dt-custom-setting.js                             | JavaScript |         25 |          0 |         11 |         36 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\table\datatable\dt-global_style-dark.css                         | CSS        |        160 |         13 |         31 |        204 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\table\datatable\dt-global_style.css                              | CSS        |        154 |         13 |         32 |        199 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\tagInput\tags-input.css                                          | CSS        |         33 |         10 |          1 |         44 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\tagInput\tags-input.js                                           | JavaScript |        123 |         25 |         47 |        195 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\treeview\custom-jstree.js                                        | JavaScript |         18 |          2 |          7 |         27 |
| c:\xampp\htdocs\ventas-proyecto-rick\resources\css\app.css                                                           | CSS        |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\resources\js\app.js                                                             | JavaScript |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\ventas-proyecto-rick\resources\js\bootstrap.js                                                       | JavaScript |          6 |         18 |          9 |         33 |
| c:\xampp\htdocs\ventas-proyecto-rick\resources\lang\en\auth.php                                                      | PHP        |          6 |         10 |          5 |         21 |
| c:\xampp\htdocs\ventas-proyecto-rick\resources\lang\en\pagination.php                                                | PHP        |          5 |         10 |          5 |         20 |
| c:\xampp\htdocs\ventas-proyecto-rick\resources\lang\en\passwords.php                                                 | PHP        |          8 |         10 |          5 |         23 |
| c:\xampp\htdocs\ventas-proyecto-rick\resources\lang\en\validation.php                                                | PHP        |        125 |         30 |          9 |        164 |
| c:\xampp\htdocs\ventas-proyecto-rick\resources\sass\_variables.scss                                                  | SCSS       |          4 |          2 |          2 |          8 |
| c:\xampp\htdocs\ventas-proyecto-rick\resources\sass\app.scss                                                         | SCSS       |          3 |          3 |          3 |          9 |
| c:\xampp\htdocs\ventas-proyecto-rick\resources\views\auth\login.blade.php                                            | PHP        |         68 |          0 |         12 |         80 |
| c:\xampp\htdocs\ventas-proyecto-rick\resources\views\auth\passwords\confirm.blade.php                                | PHP        |         41 |          0 |          9 |         50 |
| c:\xampp\htdocs\ventas-proyecto-rick\resources\views\auth\passwords\email.blade.php                                  | PHP        |         40 |          0 |          8 |         48 |
| c:\xampp\htdocs\ventas-proyecto-rick\resources\views\auth\passwords\reset.blade.php                                  | PHP        |         53 |          0 |         13 |         66 |
| c:\xampp\htdocs\ventas-proyecto-rick\resources\views\auth\register.blade.php                                         | PHP        |         63 |          0 |         15 |         78 |
| c:\xampp\htdocs\ventas-proyecto-rick\resources\views\auth\verify.blade.php                                           | PHP        |         25 |          0 |          4 |         29 |
| c:\xampp\htdocs\ventas-proyecto-rick\resources\views\common\modalFooter.blade.php                                    | PHP        |         13 |          0 |          2 |         15 |
| c:\xampp\htdocs\ventas-proyecto-rick\resources\views\common\modalHead.blade.php                                      | PHP        |         10 |          0 |          1 |         11 |
| c:\xampp\htdocs\ventas-proyecto-rick\resources\views\common\searchbox.blade.php                                      | PHP        |         17 |          0 |          3 |         20 |
| c:\xampp\htdocs\ventas-proyecto-rick\resources\views\home.blade.php                                                  | PHP        |         20 |          0 |          4 |         24 |
