"filename", "language", "PHP", "Log", "HTML", "SCSS", "JavaScript", "Markdown", "XML", "CSS", "JSON", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\ventas-proyecto-rick\composer.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 1, 69
"c:\xampp\htdocs\ventas-proyecto-rick\config\app.php", "PHP", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 33, 236
"c:\xampp\htdocs\ventas-proyecto-rick\config\auth.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 14, 112
"c:\xampp\htdocs\ventas-proyecto-rick\config\broadcasting.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 13, 65
"c:\xampp\htdocs\ventas-proyecto-rick\config\cache.php", "PHP", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 19, 111
"c:\xampp\htdocs\ventas-proyecto-rick\config\cors.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 12, 35
"c:\xampp\htdocs\ventas-proyecto-rick\config\database.php", "PHP", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 22, 148
"c:\xampp\htdocs\ventas-proyecto-rick\config\excel.php", "PHP", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 211, 26, 333
"c:\xampp\htdocs\ventas-proyecto-rick\config\filesystems.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 13, 74
"c:\xampp\htdocs\ventas-proyecto-rick\config\hashing.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 9, 53
"c:\xampp\htdocs\ventas-proyecto-rick\config\livewire.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 23, 159
"c:\xampp\htdocs\ventas-proyecto-rick\config\logging.php", "PHP", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 19, 119
"c:\xampp\htdocs\ventas-proyecto-rick\config\mail.php", "PHP", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 19, 119
"c:\xampp\htdocs\ventas-proyecto-rick\config\permission.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 41, 162
"c:\xampp\htdocs\ventas-proyecto-rick\config\queue.php", "PHP", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 15, 94
"c:\xampp\htdocs\ventas-proyecto-rick\config\sanctum.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 11, 66
"c:\xampp\htdocs\ventas-proyecto-rick\config\services.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7, 34
"c:\xampp\htdocs\ventas-proyecto-rick\config\session.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 33, 202
"c:\xampp\htdocs\ventas-proyecto-rick\config\view.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 7, 37
"c:\xampp\htdocs\ventas-proyecto-rick\database\factories\UserFactory.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 40
"c:\xampp\htdocs\ventas-proyecto-rick\database\migrations\2014_10_12_000000_create_users_table.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 41
"c:\xampp\htdocs\ventas-proyecto-rick\database\migrations\2014_10_12_100000_create_password_resets_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 33
"c:\xampp\htdocs\ventas-proyecto-rick\database\migrations\2019_08_19_000000_create_failed_jobs_table.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 37
"c:\xampp\htdocs\ventas-proyecto-rick\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 37
"c:\xampp\htdocs\ventas-proyecto-rick\database\migrations\2022_11_07_192028_create_companies_table.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 36
"c:\xampp\htdocs\ventas-proyecto-rick\database\migrations\2022_11_07_195247_create_denominations_table.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 35
"c:\xampp\htdocs\ventas-proyecto-rick\database\migrations\2022_11_07_201448_create_categories_table.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 34
"c:\xampp\htdocs\ventas-proyecto-rick\database\migrations\2022_11_07_201857_create_products_table.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 43
"c:\xampp\htdocs\ventas-proyecto-rick\database\migrations\2022_11_07_204956_create_sales_table.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 41
"c:\xampp\htdocs\ventas-proyecto-rick\database\migrations\2022_11_07_205811_create_sale_details_table.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 38
"c:\xampp\htdocs\ventas-proyecto-rick\database\migrations\2022_11_22_222646_create_permission_tables.php", "PHP", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 24, 142
"c:\xampp\htdocs\ventas-proyecto-rick\database\seeders\CategorySeeder.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 35
"c:\xampp\htdocs\ventas-proyecto-rick\database\seeders\DatabaseSeeder.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 23
"c:\xampp\htdocs\ventas-proyecto-rick\database\seeders\DenominationSeeder.php", "PHP", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 67
"c:\xampp\htdocs\ventas-proyecto-rick\database\seeders\ProductSeeder.php", "PHP", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 57
"c:\xampp\htdocs\ventas-proyecto-rick\database\seeders\RolesSeeder.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 27
"c:\xampp\htdocs\ventas-proyecto-rick\database\seeders\UserSeeder.php", "PHP", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 60
"c:\xampp\htdocs\ventas-proyecto-rick\debug.log", "Log", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\xampp\htdocs\ventas-proyecto-rick\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 15725, 0, 0, 1, 15726
"c:\xampp\htdocs\ventas-proyecto-rick\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 1, 24
"c:\xampp\htdocs\ventas-proyecto-rick\phpunit.xml", "XML", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 2, 1, 32
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\apps\contacts.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 351, 0, 0, 19, 36, 406
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\apps\invoice.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 326, 0, 0, 31, 22, 379
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\apps\mailbox.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 856, 0, 0, 23, 48, 927
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\apps\mailing-chat.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 640, 0, 0, 14, 20, 674
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\apps\notes.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 369, 0, 0, 39, 25, 433
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\apps\scrumboard.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 439, 0, 0, 25, 23, 487
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\apps\todolist.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 446, 0, 0, 27, 31, 504
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\authentication\form-1.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 189, 0, 0, 10, 8, 207
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\authentication\form-2.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 212, 0, 0, 10, 10, 232
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\color-pallet.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 10, 2, 66
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\components\cards\card.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 363, 0, 0, 67, 11, 441
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\components\custom-carousel.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 17, 12, 153
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\components\custom-countdown.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 16, 2, 71
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\components\custom-counter.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 16, 2, 77
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\components\custom-list-group.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 168, 0, 0, 30, 18, 216
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\components\custom-media_object.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 119, 0, 0, 19, 21, 159
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\components\custom-modal.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 188, 0, 0, 31, 20, 239
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\components\custom-sweetalert.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 10, 2, 16
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\components\tabs-accordian\custom-accordions.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 19, 8, 109
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\components\tabs-accordian\custom-tabs.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 335, 0, 0, 76, 75, 486
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\components\timeline\custom-timeline.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 480, 0, 0, 25, 10, 515
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\dashboard\dash_1-minimal.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 710, 0, 0, 60, 27, 797
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\dashboard\dash_1.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 694, 0, 0, 60, 26, 780
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\dashboard\dash_2-minimal.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 923, 0, 0, 85, 34, 1042
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\dashboard\dash_2.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 911, 0, 0, 85, 34, 1030
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\elements\alert.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 181, 0, 0, 19, 30, 230
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\elements\avatar.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 13, 17, 95
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\elements\breadcrumb.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 203, 0, 0, 27, 13, 243
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\elements\color_library.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 1, 0, 45
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\elements\custom-pagination.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 219, 0, 0, 37, 10, 266
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\elements\custom-tree_view.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 14, 6, 126
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\elements\custom-typography.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 28
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\elements\infobox.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 19, 4, 132
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\elements\miscellaneous.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 10, 2, 17
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\elements\popover.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 16, 30, 131
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\elements\search.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 175, 0, 0, 23, 16, 214
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\elements\tooltip.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 20, 17, 82
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\forms\bootstrap-form.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 10, 23, 111
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\forms\custom-clipboard.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 10, 2, 24
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\forms\switches.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 203, 0, 0, 22, 2, 227
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\forms\theme-checkbox-radio.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 218, 0, 0, 20, 38, 276
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\loader.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 10, 2, 31
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\main.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1631, 0, 0, 58, 381, 2070
"c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\pages\coming-soon\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 202, 0, 0, 10, 8, 220
